Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
133928	-0.009998	0.000000	0.008166	0.000000	0.000000	0.000000	-0.037326	0.000000	0.000000	-0.078576	-0.050221	0.000000	0.051055	0.000000	-0.093472	0.000000	0.000000	0.000000	-0.045986	-0.083778	0.112411	0.211165	-0.286743	0.221251	0.032869	
134324	-0.031462	0.000000	-0.119372	0.000000	0.000000	0.000000	-0.029934	0.000000	0.000000	-0.056769	0.055201	0.000000	-0.212092	0.000000	0.088479	0.000000	0.000000	0.000000	-0.035080	-0.114958	-0.169969	0.139988	0.595158	0.264617	0.027607	
135225	-0.443218	0.000000	0.663383	0.000000	0.000000	0.000000	-0.016473	0.000000	0.000000	0.031510	0.129981	0.000000	-0.130256	0.000000	0.608101	0.000000	0.000000	0.000000	-0.071779	0.023640	0.201432	0.200323	-0.521430	0.158174	-0.146701	
135528	-0.042510	0.000000	-0.006117	0.000000	0.000000	0.000000	-0.028391	0.000000	0.000000	0.040281	0.205207	0.000000	0.062727	0.000000	0.055889	0.000000	0.000000	0.000000	-0.042736	-0.043071	-0.189337	0.156844	-0.171067	-0.240971	-0.026661	
135932	-0.419250	0.000000	-0.465606	0.000000	0.000000	0.000000	0.100477	0.000000	0.000000	0.296056	-0.152922	0.000000	-0.256155	0.000000	-0.391972	0.000000	0.000000	0.000000	-0.172991	0.466611	0.115196	0.189258	0.650539	0.220591	-0.329073	
136227	-0.082719	0.000000	-0.219836	0.000000	0.000000	0.000000	-0.119900	0.000000	0.000000	0.132684	0.340849	0.000000	0.020879	0.000000	-0.069393	0.000000	0.000000	0.000000	-0.098878	-0.096558	0.196348	0.328158	-0.146591	-0.284226	-0.056881	
136833	-0.043920	0.000000	-0.352118	0.000000	0.000000	0.000000	-0.057968	0.000000	0.000000	-0.122613	0.061649	0.000000	-0.229925	0.000000	-0.231072	0.000000	0.000000	0.000000	-0.168030	-0.174300	-0.349841	-0.319325	0.505151	-0.395782	-0.083012	
137027	-0.015588	0.000000	0.197083	0.000000	0.000000	0.000000	-0.002921	0.000000	0.000000	0.014584	0.309136	0.000000	-0.270951	0.000000	0.061377	0.000000	0.000000	0.000000	-0.009669	0.015654	0.391268	-0.077364	-0.830933	-0.142665	0.007291	
137128	-0.009915	0.000000	-0.592518	0.000000	0.000000	0.000000	0.005089	0.000000	0.000000	-0.044219	0.368142	0.000000	0.005466	0.000000	-0.504592	0.000000	0.000000	0.000000	-0.009196	-0.112137	-0.275379	-0.071327	0.137603	-0.161873	-0.171626	
137633	-0.036795	0.000000	0.132121	0.000000	0.000000	0.000000	-0.009092	0.000000	0.000000	-0.026498	0.082953	0.000000	-0.505326	0.000000	-0.556033	0.000000	0.000000	0.000000	-0.011861	-0.116130	-0.038224	0.063940	0.908119	0.235427	-0.091023	
137936	-0.027628	0.000000	-0.092242	0.000000	0.000000	0.000000	-0.033705	0.000000	0.000000	0.070766	-0.149626	0.000000	-0.121908	0.000000	-0.206166	0.000000	0.000000	0.000000	-0.012141	-0.032709	-0.060787	-0.173395	0.440031	0.115074	0.038193	
138231	-0.094646	0.000000	0.347849	0.000000	0.000000	0.000000	0.000803	0.000000	0.000000	0.005006	-0.072353	0.000000	-0.460434	0.000000	-0.476313	0.000000	0.000000	0.000000	-0.021062	-0.326239	0.241995	0.005441	0.808999	-0.399497	-0.246993	
138534	-0.046575	0.000000	-0.716599	0.000000	0.000000	0.000000	0.011406	0.000000	0.000000	-0.042928	0.055795	0.000000	-0.015433	0.000000	0.764886	0.000000	0.000000	0.000000	-0.002575	-0.002625	0.377681	0.266475	-0.215838	0.050816	-0.191550	
139233	0.020394	0.000000	0.028453	0.000000	0.000000	0.000000	-0.045688	0.000000	0.000000	-0.187141	0.126706	0.000000	-0.057291	0.000000	-0.354847	0.000000	0.000000	0.000000	-0.082264	-0.225347	0.056623	-0.224320	0.520490	-0.259823	-0.197397	
139637	-0.047310	0.000000	0.199294	0.000000	0.000000	0.000000	-0.063776	0.000000	0.000000	0.443682	0.142505	0.000000	-0.186471	0.000000	-0.155700	0.000000	0.000000	0.000000	-0.059779	0.344831	0.301000	0.250869	0.341239	0.197817	-0.349356	
